MARKS,,,,,Variables,,
Math Score,Reading Score,Writing Score,Total,Percentage,Gender,Parental Level of Education,
72,72,74,218,72.67,F,bachelor's degree,BA
69,90,88,247,82.33,F,some college,C
90,95,93,278,92.67,F,master's degree,MA
47,57,44,148,49.33,M,associate's degree,AA
76,78,75,229,76.33,M,some college,C
71,83,78,232,77.33,F,associate's degree,AA
88,95,92,275,91.67,F,some college,C
40,43,39,122,40.67,M,some college,C
64,64,67,195,65,M,high school,HS
38,60,50,148,49.33,F,high school,HS
58,54,52,164,54.67,M,associate's degree,AA
40,52,43,135,45,M,associate's degree,AA
65,81,73,219,73,F,high school,HS
78,72,70,220,73.33,M,some college,C
50,53,58,161,53.67,F,master's degree,MA
69,75,78,222,74,F,some high school,HS
88,89,86,263,87.67,M,high school,HS
18,32,28,78,26,F,some high school,HS
46,42,46,134,44.67,M,master's degree,MA
54,58,61,173,57.67,F,associate's degree,AA
66,69,63,198,66,M,high school,HS
65,75,70,210,70,F,some college,C
44,54,53,151,50.33,M,some college,C
69,73,73,215,71.67,F,some high school,HS
74,71,80,225,75,M,bachelor's degree,BA
73,74,72,219,73,M,master's degree,MA
69,54,55,178,59.33,M,some college,C
67,69,75,211,70.33,F,bachelor's degree,BA
70,70,65,205,68.33,M,high school,HS
62,70,75,207,69,F,master's degree,MA
69,74,74,217,72.33,F,some college,C
63,65,61,189,63,F,some college,C
56,72,65,193,64.33,F,master's degree,MA
40,42,38,120,40,M,some college,C
97,87,82,266,88.67,M,some college,C
81,81,79,241,80.33,M,associate's degree,AA
74,81,83,238,79.33,F,associate's degree,AA
50,64,59,173,57.67,F,some high school,HS
75,90,88,253,84.33,F,associate's degree,AA
57,56,57,170,56.67,M,associate's degree,AA
55,61,54,170,56.67,M,associate's degree,AA
58,73,68,199,66.33,F,associate's degree,AA
53,58,65,176,58.67,F,associate's degree,AA
59,65,66,190,63.33,M,some college,C
50,56,54,160,53.33,F,associate's degree,AA
65,54,57,176,58.67,M,associate's degree,AA
55,65,62,182,60.67,F,associate's degree,AA
66,71,76,213,71,F,high school,HS
57,74,76,207,69,F,associate's degree,AA
82,84,82,248,82.67,M,high school,HS
53,55,48,156,52,M,some college,C
77,69,68,214,71.33,M,associate's degree,AA
53,44,42,139,46.33,M,some college,C
88,78,75,241,80.33,M,high school,HS
71,84,87,242,80.67,F,some high school,HS
33,41,43,117,39,F,high school,HS
82,85,86,253,84.33,F,associate's degree,AA
52,55,49,156,52,M,associate's degree,AA
58,59,58,175,58.33,M,some college,C
0,17,10,27,9,F,some high school,HS
79,74,72,225,75,M,bachelor's degree,BA
39,39,34,112,37.33,M,some high school,HS
62,61,55,178,59.33,M,associate's degree,AA
69,80,71,220,73.33,F,associate's degree,AA
59,58,59,176,58.67,F,some high school,HS
67,64,61,192,64,M,some high school,HS
45,37,37,119,39.67,M,some high school,HS
60,72,74,206,68.67,F,some college,C
61,58,56,175,58.33,M,associate's degree,AA
39,64,57,160,53.33,F,associate's degree,AA
58,63,73,194,64.67,F,some college,C
63,55,63,181,60.33,M,some college,C
41,51,48,140,46.67,F,associate's degree,AA
61,57,56,174,58,M,some high school,HS
49,49,41,139,46.33,M,some high school,HS
44,41,38,123,41,M,associate's degree,AA
30,26,22,78,26,M,some high school,HS
80,78,81,239,79.67,M,bachelor's degree,BA
61,74,72,207,69,F,some high school,HS
62,68,68,198,66,F,master's degree,MA
47,49,50,146,48.67,F,associate's degree,AA
49,45,45,139,46.33,M,high school,HS
50,47,54,151,50.33,M,some college,C
72,64,63,199,66.33,M,associate's degree,AA
42,39,34,115,38.33,M,high school,HS
73,80,82,235,78.33,F,some college,C
76,83,88,247,82.33,F,some college,C
71,71,74,216,72,F,associate's degree,AA
58,70,67,195,65,F,some college,C
73,86,82,241,80.33,F,some high school,HS
65,72,74,211,70.33,F,bachelor's degree,BA
27,34,36,97,32.33,M,high school,HS
71,79,71,221,73.67,M,high school,HS
43,45,50,138,46,M,associate's degree,AA
79,86,92,257,85.67,F,some college,C
78,81,82,241,80.33,M,associate's degree,AA
65,66,62,193,64.33,M,some high school,HS
63,72,70,205,68.33,F,some college,C
58,67,62,187,62.33,F,some college,C
65,67,62,194,64.67,F,bachelor's degree,BA
79,67,67,213,71,M,some college,C
68,74,74,216,72,M,bachelor's degree,BA
85,91,89,265,88.33,F,associate's degree,AA
60,44,47,151,50.33,M,high school,HS
98,86,90,274,91.33,M,some college,C
58,67,72,197,65.67,F,some college,C
87,100,100,287,95.67,F,master's degree,MA
66,63,64,193,64.33,M,associate's degree,AA
52,76,70,198,66,F,associate's degree,AA
70,64,72,206,68.67,F,some high school,HS
77,89,98,264,88,F,associate's degree,AA
62,55,49,166,55.33,M,high school,HS
54,53,47,154,51.33,M,associate's degree,AA
51,58,54,163,54.33,F,some college,C
99,100,100,299,99.67,F,bachelor's degree,BA
84,77,74,235,78.33,M,high school,HS
75,85,82,242,80.67,F,bachelor's degree,BA
78,82,79,239,79.67,F,bachelor's degree,BA
51,63,61,175,58.33,F,some high school,HS
55,69,65,189,63,F,some college,C
79,92,89,260,86.67,F,bachelor's degree,BA
91,89,92,272,90.67,M,associate's degree,AA
